rank,model,integrated_score,benchmark_score,benchmark_norm,speed_norm,ttft_s,tps,speed_rank,top_provider,match_source,n_benchmarks
1,grok-4.20-0309-reasoning,70.15,63.0552,100.0,0.5,0.01,0.3,61.0,cursor-proxy,explicit,4
2,grok-3,58.9865,50.0,79.2132,9.844,1.334,20.33,40.0,blazeai,explicit,1
3,claude-opus-4-6,55.5992,50.0,79.2132,0.5,,,,,fuzzy_rejected(gap),1
4,claude-opus-4-7,52.234,46.9807,74.4058,0.5,,,,,fuzzy_rejected(gap),5
5,gemini-3-pro-preview,47.6958,42.9089,67.9226,0.5,0.01,0.3,59.0,cursor-proxy,fuzzy(100),5
6,gpt-5.4,47.0279,42.3097,66.9685,0.5,0.0431,0.25,62.0,cursor-proxy,explicit,5
7,gpt-5.3-codex,46.1324,41.5062,65.6891,0.5,0.0431,0.25,62.0,cursor-proxy,explicit,5
8,gemini-3.1-pro-preview,45.9225,41.3179,65.3893,0.5,,,,,fuzzy_rejected(gap),4
9,claude-sonnet-4-6,44.4716,34.725,54.892,17.5365,0.1163,22.99,32.0,cursor-proxy,explicit,4
10,claude-opus-4-5,42.9658,38.6651,61.1655,0.5,,,,,fuzzy_rejected(gap),3
11,gpt-5.5,41.7832,37.604,59.476,0.5,0.0431,0.25,62.0,cursor-proxy,explicit,4
12,gemini-2.5-flash-lite-preview-09-2025,41.1402,25.7729,40.6382,38.5762,1.4915,83.45,22.0,hapuppy,explicit,1
13,gemini-3-flash-preview,40.8235,36.0381,56.9827,3.1186,1.83,7.4,50.0,cursor-proxy,fuzzy(100),5
14,gpt-oss-120b,40.6991,8.1769,12.6214,100.0,0.61,161.7,2.0,xinjianya,explicit,1
15,claude-opus-4-6-thinking,40.6651,36.6008,57.8786,0.5,,,,,no_match,4
16,gpt-4.1-mini,39.4911,11.9182,18.5784,82.4984,0.25,115.0,4.0,openai,fuzzy(87),1
17,gemini-2.5-flash-preview-04-17,38.7615,19.3428,30.4,54.0229,0.45,82.0,16.0,google,explicit,1
18,gpt-oss-20b,37.721,5.6273,8.5619,100.0,0.61,161.7,2.0,xinjianya,fuzzy(96),1
19,grok-4.3,36.5496,30.0686,47.4779,9.844,1.334,20.33,40.0,blazeai,explicit,5
20,gemini-3.1-flash-lite-preview,34.9247,31.4505,49.6782,0.5,,,,,fuzzy_rejected(gap),3
21,gpt-5.2-codex,31.2793,28.1797,44.4704,0.5,0.0431,0.25,62.0,cursor-proxy,explicit,3
22,muse_spark,30.2278,27.2363,42.9683,0.5,,,,,no_match,3
23,minimax-m2.1,30.1649,11.2635,17.536,55.858,0.54,87.9,11.0,ollama-cloud,explicit,4
24,gemini-2.5-flash-preview-09-2025,29.9595,11.7052,18.2393,54.0229,0.45,82.0,16.0,google,explicit,1
25,claude-3-5-sonnet,29.8956,21.8784,34.4373,17.5365,0.1163,22.99,32.0,cursor-proxy,explicit,1
26,gemini-2.5-flash-preview-09-2025-thinking,29.8353,11.5974,18.0676,54.0229,0.45,82.0,16.0,google,explicit,1
27,gemini-2.5-pro,29.7799,11.5494,17.9912,54.0229,0.45,82.0,16.0,google,explicit,3
28,claude-opus-4,28.9174,26.0606,41.0963,0.5,,,,,fuzzy_rejected(gap),1
29,claude-3-7-sonnet,27.0425,19.3638,30.4335,17.5365,0.1163,22.99,32.0,cursor-proxy,explicit,1
30,gemini-2.5-flash-lite-preview-09-2025-thinking,26.2981,12.8191,20.0128,38.5762,1.4915,83.45,22.0,hapuppy,explicit,1
31,llama4-maverick-instruct-basic,25.72,23.1918,36.5285,0.5,,,,,no_match,1
32,minimax-m2.7,25.4715,7.7622,11.9611,54.1247,2.855,162.8,15.0,ollama-cloud,explicit,5
33,claude-sonnet-4,25.1139,17.664,27.727,17.5365,0.1163,22.99,32.0,cursor-proxy,explicit,2
34,gpt-5-mini,23.2844,21.0066,33.0492,0.5,0.0431,0.25,62.0,cursor-proxy,explicit,5
35,gpt-5.2,23.211,20.9407,32.9442,0.5,0.0431,0.25,62.0,cursor-proxy,explicit,5
36,mistral-large-2512,22.6522,7.3686,11.3344,46.861,0.48,72.0,20.0,mistral,fuzzy(91),2
37,o4-mini,21.9186,15.0938,23.6347,16.7638,1.2827,34.09,34.0,blazeai,explicit,2
38,claude-opus-4-5-20251101-thinking,21.3824,19.3001,30.332,0.5,,,,,no_match,5
39,deepseek-v4-pro,20.9671,18.9275,29.7388,0.5,,,,,no_match,5
40,kimi-k2.6-thinking,20.9338,18.8976,29.6912,0.5,,,,,no_match,4
41,gemini-2.5-pro-preview-03-25,20.5615,3.5504,5.255,54.0229,0.45,82.0,16.0,google,explicit,1
42,claude-sonnet-4-5-20250929-thinking,20.368,13.4812,21.067,17.5365,0.1163,22.99,32.0,cursor-proxy,explicit,5
43,gpt-5.4-mini,19.5488,17.6549,27.7125,0.5,,,,,fuzzy_rejected(gap),5
44,glm-5.1-thinking,19.4334,17.5514,27.5477,0.5,,,,,no_match,4
45,deepseek-v3-0324,19.1348,11.2084,17.4482,21.8194,0.888,39.04,30.0,ollama-cloud,explicit,2
46,deepseek-v3p2,18.8445,10.9531,17.0417,21.8194,0.888,39.04,30.0,ollama-cloud,explicit,3
47,grok-3-mini-fast-low-reasoning,18.3926,13.9391,21.7961,9.844,1.334,20.33,40.0,blazeai,explicit,1
48,gemini-2.5-flash-preview-04-17-thinking,18.2251,1.5231,2.0271,54.0229,0.45,82.0,16.0,google,explicit,1
49,gpt-5.4-nano,18.2239,16.4662,25.8198,0.5,,,,,no_match,5
50,gpt-5,17.4728,15.7923,24.7468,0.5,0.0431,0.25,62.0,cursor-proxy,explicit,5
51,grok-4-fast-reasoning,16.5996,12.3463,19.26,9.844,1.334,20.33,40.0,blazeai,explicit,3
52,claude-haiku-4-5-20251001-thinking,16.5249,14.9418,23.3926,0.5,,,,,no_match,4
53,gpt-5.1,16.2908,14.7318,23.0583,0.5,0.0431,0.25,62.0,cursor-proxy,explicit,5
54,o3,15.9537,10.6836,16.6126,13.6302,2.5,38.0,35.0,openai,explicit,1
55,gpt-5.1-codex-max,15.2408,13.7897,21.5582,0.5,,,,,no_match,3
56,o3-mini,15.2281,9.1855,14.2273,16.7638,1.2827,34.09,34.0,blazeai,fuzzy(86),1
57,qwen3.6-plus,15.1674,13.7239,21.4535,0.5,,,,,no_match,4
58,glm-4.7,13.9724,10.3586,16.0952,8.6039,1.48,18.55,41.0,ollama-cloud,fuzzy(100),4
59,kimi-k2.5-thinking,13.6253,12.3403,19.2505,0.5,,,,,no_match,5
60,minimax-m2.5-lightning,13.0047,11.7835,18.3639,0.5,,,,,no_match,4
61,devstral-2512,12.5568,11.3816,17.724,0.5,,,,,no_match,3
